Items,Sept 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,June 2022,July 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Jan 2027,Totals,Comments
Income,,,,,,,,,"185,000","185,000","185,000","185,000","180,000","180,000","180,000","180,000","175,000","175,000","175,000","200,000","200,000","200,000","200,000","160,000","160,000","160,000","180,000","180,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000",0,0,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","2,500,000",
Bonus/Others,,,,,,,,,,,,,,,,"560,000","250,000","350,000","562,500","300,000","100,000",25000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Recurring Deposit,100000,100000,100000,100000,100000,100000,100000,1000,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",,,,,,,,,,,,,,,,,,,,,,,"3,000",Holded due to uncertanity of Income
Recurring Deposit,1000,1000,1000,1000,1000,1000,1000,8000,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000",,,,,,,,,,,,,,,,,,"64,000",Holded due to uncertanity of Income
SIP Mutual Funds,15000,20000,20000,20000,20000,20000,30000,50000,"50,000","50,000","200,000","150,000","60,000","65,000","50,000","80,000","125,000","300,000","45,000","40,000","50,000","30,000","60,000","45,000","45,000","50,000","50,000","50,000","60,000","110,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000",0,0,"60,000","60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Holded due to uncertanity of Income
US Stocks,,,,,,,,,,,,,"10,000","20,000","20,000","20,000","170,000",0,"100,000","50,000",0,"50,000",0,0,0,0,0,0,"25,000",0,0,0,0,0,0,"50,000","10,000","10,000","42,000",0,"10,000","10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Holded due to uncertanity of Income
Crypto,,,,,,,,,,"10,000","35,000","45,000","10,000","10,000",,"5,000","5,000","8,842","5,183",,,,0,0,0,0,0,0,0,"10,000",0,0,0,0,0,"5,000","5,000","5,000",0,0,"5,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Holded due to uncertanity of Income
Stocks,,,,,,,,,,"20,000","50,000",,"145,000","15,000",,"50,000",,,"140,800",70000,"25,000",,,,"15,000",,,,40000,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Holded due to uncertanity of Income
LIC,17000,,,7226,10580,,18000,,,,"7,226","12,484",,"17,530",,"28,263",,,"13,430","17,591",,,7226,12485,,"17,703",,"28,263",,,"3,887","17,591",,,,"10,580",,"17,530",,"27,641",,,"3,887","7,731",,,"7,226","20,210",,,,"28,263",,,,"7,731",,,"7,731","10,580",,"7,670",,"28,263",,,"3,887","7,731",,,"7,731","10,580","63,935",
Bonds (Wint Wealth),,,,,,,,,,,,,,,,"50,168","100,203","50,761","101,204","82,000",,"15,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000",0,Holded due to uncertanity of Income
